ID (word index)	FORM	LEMMA	U-POS	X-POS	FEATS	LEMMA ACADEMY	HEB TIKNIYYUT
# sent_id = 1.1
# text = שירות זה מספק מידע לגבי תהליך הנפקת דרכון וחידוש דרכון. 
1	שירות	שירות	NOUN	NOUN	Gender=Masc|Number=Sing	שֵׁרוּת	_
2	זה	זה	DET	DET	Gender=Masc|Number=Sing|PronType=Dem	זֶה	_
3	מספק	סיפק	VERB	VERB	Gender=Masc|Number=Sing|Person=1,2,3|HebBinyan=PIEL|Voice=Act|VerbForm=Part	מְסַפֵּק	_
4	מידע	מידע	NOUN	NOUN	Gender=Masc|Number=Sing	מֵידָע	_
5	לגבי	לגבי	ADP	ADP	_	לְגַבֵּי	_
6	תהליך	תהליך	NOUN	NOUN	Gender=Masc|Number=Sing|Definite=Cons	תַּהֲלִיךְ	_
7	הנפקת	הנפקה	NOUN	NOUN	Gender=Fem|Number=Sing|Definite=Cons	הַנְפָּקָה	_
8	דרכון	דרכון	NOUN	NOUN	Gender=Masc|Number=Sing	דַּרְכּוֹן	_
9-10	וחידוש	_	_	_	_	_	_
9	ו	ו	CCONJ	CCONJ	_	_	_
10	חידוש	חידוש	NOUN	NOUN	Gender=Masc|Number=Sing|Definite=Cons	חִדּוּשׁ	_
11	דרכון	דרכון	NOUN	NOUN	Gender=Masc|Number=Sing	דַּרְכּוֹן	_
12	.	.	PUNCT	PUNCT	_	_	_

# sent_id = 1.2
# text = כאן גם תוכלו לשלם עבור שירותי הנפקת הדרכון וחידושו. 
1	כאן	כאן	ADV	ADV	_	כָּאן	_
2	גם	גם	CCONJ	CCONJ	_	גַּם	_
3	תוכלו	יכול	AUX	AUX	Gender=Masc|Number=Plur|Person=2|HebBinyan=PAAL|Voice=Act|VerbType=Mod|Tense=Fut	יָכוֹל	_
4	לשלם	שילם	VERB	VERB	HebBinyan=PIEL|Voice=Act|VerbForm=Inf	מְשַׁלֵּם	_
5	עבור	עבור	ADP	ADP	_	עֲבוּר	_
6	שירותי	שירות	NOUN	NOUN	Gender=Masc|Number=Plur|Definite=Cons	שֵׁרוּת	_
7	הנפקת	הנפקה	NOUN	NOUN	Gender=Fem|Number=Sing|Definite=Cons	הַנְפָּקָה	_
8-9	הדרכון	_	_	_	_	_	_
8	ה	ה	DET	DET	PronType=Art	_	_
9	דרכון	דרכון	NOUN	NOUN	Gender=Masc|Number=Sing	דַּרְכּוֹן	_
10-13	וחידושו	_	_	_	_	_	_
10	ו	ו	CCONJ	CCONJ	_	_	_
11	חידוש	חידוש	NOUN	NOUN	Gender=Masc|Number=Sing|Definite=Def	חִדּוּשׁ	_
12	_של_	של	ADP	ADP	Case=Gen	_	_
13	_הוא	הוא	PRON	PRON	Gender=Masc|Number=Sing|Person=3
	_	_
14	.	.	PUNCT	PUNCT	_	_	_

# sent_id = 1.3
# text = חובה להציג תעודת זהות בקבלת השירות בלשכה. 
1	חובה	חובה	AUX	AUX	Gender=Fem|Number=Sing|VerbType=Mod	חוֹבָה	_
2	להציג	הציג	VERB	VERB	HebBinyan=HIFIL|Voice=Act|VerbForm=Inf	מַצִּיג	_
3	תעודת	תעודה	NOUN	NOUN	Gender=Fem|Number=Sing|Definite=Cons	תְּעוּדָה	_
4	זהות	זהות	NOUN	NOUN	Gender=Fem|Number=Sing	זֶהוּת	_
5-6	בקבלת	_	_	_	_	_	_
5	ב	ב	ADP	ADP	_	_	_
6	קבלת	קבלה	NOUN	NOUN	Gender=Fem|Number=Sing|Definite=Cons	קַבָּלָה	_
7-8	השירות	_	_	_	_	_	_
7	ה	ה	DET	DET	PronType=Art	_	_
8	שירות	שירות	NOUN	NOUN	Gender=Masc|Number=Sing	שֵׁרוּת	_
9-11	בלשכה	_	_	_	_	_	_
9	ב	ב	ADP	ADP	_	_	_
10	_ה_	ה	DET	DET	PronType=Art	_	_
11	לשכה	לשכה	NOUN	NOUN	Gender=Fem|Number=Sing	לִשְׁכָּה	_
12	.	.	PUNCT	PUNCT	_	_	_

# sent_id = 1.4
# text = חובה להציג תעודת זהות בקבלת השירות בלשכה. 
